# Chl-a and CDOM for the 3320 IOP combinations of the Loisel et al.
# (2023, ESSD 15, 3711-3731) synthetic database, expressed in the
# units of Dutkiewicz et al. (2018) Fig. 10a:
#   Chl (mg m-3)       = aph(440) / 0.05582  (Bricaud et al. 1998)
#   CDOM (mmol C m-3)  = ag(450) / 0.18  (Dutkiewicz et al. 2015 ccdom)
# Written by robust/dutkiewicz2018_fig10.py.
index,aph440,ag440,ag450,Chl,CDOM
215,0.006311,0.002168,0.001932,0.11306,0.0107333
216,0.006615,0.009745,0.008278,0.118506,0.0459889
217,0.006845,0.003667,0.003214,0.122626,0.0178556
218,0.00748,0.009404,0.007731,0.134002,0.04295
219,0.008603,0.005259,0.004527,0.15412,0.02515
220,0.066888,0.01084,0.009581,1.19828,0.0532278
221,0.15098,0.20993,0.18554,2.70477,1.03078
222,0.006845,0.007927,0.006662,0.122626,0.0370111
223,0.006615,0.004491,0.004059,0.118506,0.02255
224,0.006836,0.009741,0.008296,0.122465,0.0460889
225,0.007381,0.003667,0.003132,0.132229,0.0174
226,0.006615,0.02657,0.022176,0.118506,0.1232
227,0.006314,0.011922,0.010103,0.113114,0.0561278
228,0.007946,0.010065,0.008342,0.14235,0.0463444
229,0.007291,0.003531,0.002919,0.130616,0.0162167
230,0.006829,0.008961,0.007985,0.12234,0.0443611
231,0.005907,0.003732,0.003312,0.105822,0.0184
232,0.019487,0.015804,0.013651,0.349104,0.0758389
233,0.006734,0.017368,0.01452,0.120638,0.0806667
234,0.007495,0.009432,0.008482,0.134271,0.0471222
235,0.006314,0.012875,0.011204,0.113114,0.0622444
236,0.007381,0.004929,0.004328,0.132229,0.0240444
237,0.00847,0.004467,0.003756,0.151738,0.0208667
238,0.006751,0.006214,0.005564,0.120942,0.0309111
239,0.006895,0.003911,0.003269,0.123522,0.0181611
240,0.007235,0.00335,0.002803,0.129613,0.0155722
241,0.007559,0.014187,0.012171,0.135417,0.0676167
242,0.006951,0.002659,0.002346,0.124525,0.0130333
243,0.020808,0.025688,0.021847,0.37277,0.121372
244,0.006647,0.00604,0.005427,0.119079,0.03015
245,0.007806,0.018135,0.015414,0.139842,0.0856333
246,0.006845,0.002392,0.002159,0.122626,0.0119944
247,0.005921,0.01045,0.009397,0.106073,0.0522056
248,0.006895,0.004953,0.004424,0.123522,0.0245778
249,0.006615,0.002676,0.002315,0.118506,0.0128611
250,0.006845,0.002316,0.001959,0.122626,0.0108833
251,0.006647,0.007807,0.006484,0.119079,0.0360222
252,0.006647,0.038926,0.033509,0.119079,0.186161
253,0.008553,0.010453,0.009412,0.153225,0.0522889
254,0.018641,0.016938,0.014412,0.333948,0.0800667
255,0.006845,0.003947,0.003461,0.122626,0.0192278
256,0.005907,0.019844,0.016839,0.105822,0.09355
257,0.006335,0.003036,0.00254,0.11349,0.0141111
258,0.006941,0.004231,0.00372,0.124346,0.0206667
259,0.006734,0.009781,0.00842,0.120638,0.0467778
260,0.006615,0.001144,0.000954,0.118506,0.0053
261,0.006951,0.002587,0.002206,0.124525,0.0122556
262,0.007585,0.006409,0.005497,0.135883,0.0305389
263,0.006751,0.006952,0.006085,0.120942,0.0338056
264,0.006246,0.002503,0.002174,0.111895,0.0120778
265,0.018575,0.005993,0.005356,0.332766,0.0297556
266,0.006829,0.006084,0.005085,0.12234,0.02825
267,0.00683,0.005783,0.005056,0.122358,0.0280889
268,0.007594,0.005852,0.005056,0.136044,0.0280889
269,0.006739,0.009661,0.008426,0.120727,0.0468111
270,0.006198,0.003831,0.003238,0.111035,0.0179889
271,0.006314,0.006338,0.005419,0.113114,0.0301056
272,0.006615,0.00348,0.00295,0.118506,0.0163889
273,0.006311,0.002315,0.001994,0.11306,0.0110778
274,0.006052,0.006263,0.005446,0.10842,0.0302556
275,0.006385,0.000332,0.000287,0.114386,0.00159444
276,0.023108,0.009489,0.008481,0.413973,0.0471167
277,0.007806,0.004212,0.003786,0.139842,0.0210333
278,0.008062,0.003938,0.00342,0.144429,0.019
279,0.006739,0.006889,0.005658,0.120727,0.0314333
280,0.007326,0.006932,0.005801,0.131243,0.0322278
281,0.006951,0.011266,0.009477,0.124525,0.05265
282,0.008021,0.004103,0.003439,0.143694,0.0191056
283,0.006983,0.005598,0.004696,0.125099,0.0260889
284,0.00653,0.003835,0.003189,0.116983,0.0177167
285,0.006734,0.017215,0.014422,0.120638,0.0801222
286,0.006693,0.004708,0.003862,0.119903,0.0214556
287,0.031876,0.022612,0.019887,0.57105,0.110483
288,0.007559,0.003039,0.002719,0.135417,0.0151056
289,0.00698,0.016456,0.014312,0.125045,0.0795111
290,0.006314,0.001429,0.001231,0.113114,0.00683889
291,0.008255,0.003891,0.003431,0.147886,0.0190611
292,0.006314,0.002569,0.002316,0.113114,0.0128667
293,0.007559,0.003616,0.002968,0.135417,0.0164889
294,0.005903,0.003087,0.002597,0.105751,0.0144278
295,0.00698,0.014268,0.01272,0.125045,0.0706667
296,0.006615,0.00621,0.005536,0.118506,0.0307556
297,0.006734,0.031157,0.026274,0.120638,0.145967
298,0.01466,0.0238,0.020008,0.26263,0.111156
299,0.005753,0.003202,0.002789,0.103063,0.0154944
300,0.006314,0.004667,0.004191,0.113114,0.0232833
301,0.006615,0.004959,0.004307,0.118506,0.0239278
302,0.006314,0.011433,0.010199,0.113114,0.0566611
303,0.006615,0.005968,0.004986,0.118506,0.0277
304,0.008062,0.005744,0.004735,0.144429,0.0263056
305,0.007291,0.004944,0.004471,0.130616,0.0248389
306,0.006314,0.012397,0.010511,0.113114,0.0583944
307,0.006314,0.006675,0.005644,0.113114,0.0313556
308,0.006042,0.003928,0.003465,0.108241,0.01925
309,0.033792,0.017552,0.015242,0.605374,0.0846778
310,0.006615,0.005529,0.004598,0.118506,0.0255444
311,0.006314,0.02287,0.020094,0.113114,0.111633
312,0.006314,0.014074,0.0127,0.113114,0.0705556
313,0.008837,0.004932,0.004421,0.158312,0.0245611
314,0.001623,0.001385,0.001157,0.0290756,0.00642778
315,0.002702,0.003591,0.003026,0.0484056,0.0168111
316,0.00293,0.001439,0.001204,0.0524901,0.00668889
317,0.004066,0.00293,0.00249,0.0728413,0.0138333
318,0.005032,0.001921,0.0016,0.0901469,0.00888889
319,0.005829,0.001267,0.001142,0.104425,0.00634444
320,0.010771,0.007444,0.0062,0.19296,0.0344444
321,0.006615,0.00381,0.003311,0.118506,0.0183944
322,0.00757,0.005233,0.004618,0.135614,0.0256556
323,0.008512,0.008968,0.007733,0.15249,0.0429611
324,0.009424,0.006319,0.005235,0.168828,0.0290833
325,0.011378,0.002343,0.002062,0.203834,0.0114556
326,0.01381,0.013965,0.011901,0.247402,0.0661167
327,0.017502,0.006569,0.005928,0.313544,0.0329333
328,0.024593,0.006095,0.00543,0.440577,0.0301667
329,0.025614,0.037143,0.03092,0.458868,0.171778
330,0.037886,0.028048,0.024889,0.678717,0.138272
331,0.02109,0.028104,0.02316,0.377822,0.128667
332,0.008021,0.004234,0.003681,0.143694,0.02045
333,0.070803,0.034443,0.028684,1.26842,0.159356
334,0.080224,0.041139,0.035987,1.43719,0.199928
335,0.10181,0.14282,0.12084,1.8239,0.671333
336,0.11654,0.034428,0.030989,2.08778,0.172161
337,0.12991,0.035873,0.030161,2.3273,0.167561
338,0.001623,0.000544,0.000468,0.0290756,0.0026
339,0.00198,0.00419,0.00345,0.0354712,0.0191667
340,0.004025,0.004992,0.004388,0.0721068,0.0243778
341,0.00514,0.005758,0.005017,0.0920817,0.0278722
342,0.00847,0.003081,0.002757,0.151738,0.0153167
343,0.033808,0.040886,0.035548,0.605661,0.197489
344,0.009159,0.005094,0.004185,0.164081,0.02325
345,0.010123,0.008262,0.007159,0.181351,0.0397722
346,0.011838,0.011787,0.010576,0.212075,0.0587556
347,0.012741,0.006601,0.00556,0.228252,0.0308889
348,0.024593,0.003852,0.003313,0.440577,0.0184056
349,0.025309,0.007613,0.006666,0.453404,0.0370333
350,0.082601,0.044011,0.036933,1.47977,0.205183
351,0.13242,0.047816,0.039795,2.37227,0.221083
352,0.002199,0.006283,0.005543,0.0393945,0.0307944
353,0.002548,0.000693,0.000594,0.0456467,0.0033
354,0.024593,0.018481,0.016635,0.440577,0.0924167
355,0.003003,0.001004,0.000869,0.0537979,0.00482778
356,0.004886,0.004903,0.004367,0.0875313,0.0242611
357,0.00628,0.001974,0.001682,0.112504,0.00934444
358,0.006845,0.011256,0.009273,0.122626,0.0515167
359,0.008255,0.009465,0.008472,0.147886,0.0470667
360,0.009336,0.005821,0.004813,0.167252,0.0267389
361,0.010123,0.002891,0.002476,0.181351,0.0137556
362,0.011848,0.008814,0.007641,0.212254,0.04245
363,0.013218,0.014353,0.012791,0.236797,0.0710611
364,0.01451,0.012108,0.010688,0.259943,0.0593778
365,0.018186,0.005117,0.004373,0.325797,0.0242944
366,0.017603,0.008553,0.0074,0.315353,0.0411111
367,0.023405,0.012209,0.010474,0.419294,0.0581889
368,0.07983,0.087586,0.076489,1.43013,0.424939
369,0.10181,0.089215,0.074719,1.8239,0.415106
370,0.12991,0.078873,0.065345,2.3273,0.363028
371,0.002516,0.000944,0.000794,0.0450735,0.00441111
372,0.004025,0.000569,0.000494,0.0721068,0.00274444
373,0.004689,0.002096,0.001786,0.0840022,0.00992222
374,0.005829,0.00242,0.002054,0.104425,0.0114111
375,0.007585,0.00414,0.003698,0.135883,0.0205444
376,0.074628,0.024189,0.02031,1.33694,0.112833
377,0.008579,0.004085,0.003517,0.15369,0.0195389
378,0.009535,0.010457,0.009172,0.170817,0.0509556
379,0.010018,0.004433,0.003786,0.17947,0.0210333
380,0.019005,0.037238,0.03066,0.340469,0.170333
381,0.022938,0.012556,0.010887,0.410928,0.0604833
382,0.025563,0.015462,0.013944,0.457954,0.0774667
383,0.038935,0.005224,0.004307,0.69751,0.0239278
384,0.10181,0.024352,0.020088,1.8239,0.1116
385,0.11651,0.008845,0.007721,2.08724,0.0428944
386,0.13242,0.040871,0.036033,2.37227,0.200183
387,0.033215,0.028189,0.024702,0.595038,0.137233
388,0.00198,0.003177,0.002657,0.0354712,0.0147611
389,0.004025,0.008968,0.00771,0.0721068,0.0428333
390,0.004512,0.001225,0.001048,0.0808312,0.00582222
391,0.005272,0.001009,0.000853,0.0944464,0.00473889
392,0.005851,0.006043,0.005418,0.104819,0.0301
393,0.006314,0.005421,0.004496,0.113114,0.0249778
394,0.007291,0.002801,0.002306,0.130616,0.0128111
395,0.008835,0.009815,0.008795,0.158277,0.0488611
396,0.012091,0.007532,0.006263,0.216607,0.0347944
397,0.012793,0.01134,0.009369,0.229183,0.05205
398,0.050441,0.049215,0.042389,0.903637,0.235494
399,0.014799,0.007231,0.006535,0.26512,0.0363056
400,0.023616,0.007713,0.006623,0.423074,0.0367944
401,0.02814,0.031197,0.02645,0.50412,0.146944
402,0.12991,0.11498,0.10011,2.3273,0.556167
403,0.001947,0.005242,0.004445,0.03488,0.0246944
404,0.003092,0.00205,0.001719,0.0553923,0.00955
405,0.004066,0.002465,0.002106,0.0728413,0.0117
406,0.005012,0.005198,0.004415,0.0897886,0.0245278
407,0.006052,0.003156,0.002778,0.10842,0.0154333
408,0.006983,0.007027,0.005846,0.125099,0.0324778
409,0.029787,0.024307,0.021512,0.533626,0.119511
410,0.007806,0.003505,0.003039,0.139842,0.0168833
411,0.009332,0.005822,0.004946,0.16718,0.0274778
412,0.010862,0.002845,0.002369,0.19459,0.0131611
413,0.01381,0.002415,0.002127,0.247402,0.0118167
414,0.017156,0.01222,0.010622,0.307345,0.0590111
415,0.00198,0.001594,0.001365,0.0354712,0.00758333
416,0.003085,0.001613,0.001396,0.0552669,0.00775556
417,0.004286,0.003377,0.003028,0.0767825,0.0168222
418,0.005587,0.003479,0.002922,0.10009,0.0162333
419,0.005629,0.011011,0.00993,0.100842,0.0551667
420,0.028961,0.012113,0.009978,0.518828,0.0554333
421,0.007586,0.004274,0.003704,0.135901,0.0205778
422,0.008363,0.014456,0.013031,0.149821,0.0723944
423,0.009015,0.003862,0.003169,0.161501,0.0176056
424,0.012524,0.004622,0.003969,0.224364,0.02205
425,0.016977,0.002959,0.002445,0.304138,0.0135833
426,0.02024,0.016338,0.014227,0.362594,0.0790389
427,0.027931,0.020543,0.017015,0.500376,0.0945278
428,0.004031,0.010423,0.009193,0.0722143,0.0510722
429,0.004886,0.019948,0.016481,0.0875313,0.0915611
430,0.005166,0.01067,0.008828,0.0925475,0.0490444
431,0.018007,0.013348,0.011509,0.32259,0.0639389
432,0.005753,0.005766,0.005014,0.103063,0.0278556
433,0.007512,0.011471,0.00975,0.134575,0.0541667
434,0.011526,0.008511,0.007276,0.206485,0.0404222
435,0.012741,0.007819,0.00647,0.228252,0.0359444
436,0.016801,0.007133,0.006318,0.300985,0.0351
437,0.025563,0.024484,0.022146,0.457954,0.123033
438,0.036579,0.024629,0.020407,0.655303,0.113372
439,0.002702,0.001183,0.001046,0.0484056,0.00581111
440,0.003061,0.004093,0.003614,0.054837,0.0200778
441,0.004025,0.006745,0.005724,0.0721068,0.0318
442,0.031428,0.006816,0.005843,0.563024,0.0324611
443,0.011318,0.004564,0.00402,0.202759,0.0223333
444,0.004689,0.003886,0.00341,0.0840022,0.0189444
445,0.00514,0.004565,0.003803,0.0920817,0.0211278
446,0.006198,0.006538,0.005415,0.111035,0.0300833
447,0.006311,0.002905,0.002391,0.11306,0.0132833
448,0.009015,0.003894,0.003388,0.161501,0.0188222
449,0.01072,0.020291,0.016947,0.192046,0.09415
450,0.011573,0.01597,0.014225,0.207327,0.0790278
451,0.014072,0.021416,0.018203,0.252096,0.101128
452,0.017287,0.006954,0.005867,0.309692,0.0325944
453,0.018423,0.023752,0.021308,0.330043,0.118378
454,0.015958,0.018069,0.015992,0.285883,0.0888444
455,0.023322,0.026638,0.022856,0.417807,0.126978
456,0.003083,0.005122,0.004241,0.0552311,0.0235611
457,0.004886,0.003406,0.003001,0.0875313,0.0166722
458,0.005272,0.004627,0.00409,0.0944464,0.0227222
459,0.005924,0.02009,0.016714,0.106127,0.0928556
460,0.006311,0.006925,0.005963,0.11306,0.0331278
461,0.00757,0.001978,0.001763,0.135614,0.00979444
462,0.008219,0.005388,0.004764,0.147241,0.0264667
463,0.01109,0.001981,0.001678,0.198674,0.00932222
464,0.011524,0.013131,0.011231,0.206449,0.0623944
465,0.010741,0.005032,0.004509,0.192422,0.02505
466,0.01381,0.005163,0.004537,0.247402,0.0252056
467,0.026399,0.014221,0.012092,0.472931,0.0671778
468,0.033563,0.024873,0.020951,0.601272,0.116394
469,0.041212,0.026728,0.023515,0.738302,0.130639
470,0.003083,0.001039,0.000902,0.0552311,0.00501111
471,0.004025,0.002151,0.001877,0.0721068,0.0104278
472,0.004966,0.002022,0.001692,0.0889645,0.0094
473,0.006052,0.00332,0.002963,0.10842,0.0164611
474,0.006734,0.020046,0.016574,0.120638,0.0920778
475,0.007946,0.007166,0.006299,0.14235,0.0349944
