# Joint PDF of model "actual" Chl-a vs CDOM, digitized from Fig. 10a of
# Dutkiewicz et al. (2018), Biogeosciences 15, 613-630,
# doi:10.5194/bg-15-613-2018, by robust/dutkiewicz2018_fig10.py.
# Bin centres on a regular log10 grid (40 bins per decade).
# count    : mean per-native-bin sample count from the colorbar (relative density)
# fraction : count normalized to sum to 1 over all listed bins
# CDOM in mmol C m-3; Chl in mg m-3.
log10_CDOM,log10_Chl,CDOM,Chl,count,fraction
-1.9875,-1.9375,0.010292,0.0115478,4.32796,1.217310e-06
-1.9875,-1.9125,0.010292,0.0122321,69.2774,1.948542e-05
-1.9875,-1.8875,0.010292,0.0129569,536.761,1.509730e-04
-1.9875,-1.8625,0.010292,0.0137246,1007.5,2.833771e-04
-1.9875,-1.8375,0.010292,0.0145378,1131.03,3.181224e-04
-1.9875,-1.8125,0.010292,0.0153993,1131.03,3.181224e-04
-1.9875,-1.7875,0.010292,0.0163117,1131.03,3.181224e-04
-1.9875,-1.7625,0.010292,0.0172783,1084.25,3.049633e-04
-1.9875,-1.7375,0.010292,0.0183021,930.721,2.617808e-04
-1.9875,-1.7125,0.010292,0.0193865,789.64,2.220994e-04
-1.9875,-1.6875,0.010292,0.0205353,905.886,2.547956e-04
-1.9875,-1.6625,0.010292,0.021752,923.073,2.596297e-04
-1.9875,-1.6375,0.010292,0.0230409,783.758,2.204449e-04
-1.9875,-1.6125,0.010292,0.0244062,605.725,1.703703e-04
-1.9875,-1.5875,0.010292,0.0258523,403.467,1.134818e-04
-1.9875,-1.5625,0.010292,0.0273842,184.949,5.201993e-05
-1.9875,-1.5375,0.010292,0.0290068,87.4437,2.459499e-05
-1.9875,-1.5125,0.010292,0.0307256,21.0932,5.932807e-06
-1.9875,-1.4875,0.010292,0.0325462,3.15067,8.861780e-07
-1.9875,-1.4625,0.010292,0.0344747,0.300714,8.458088e-08
-1.9625,-1.9875,0.0109018,0.010292,1.22657,3.449922e-07
-1.9625,-1.9625,0.0109018,0.0109018,1.25777,3.537674e-07
-1.9625,-1.9375,0.0109018,0.0115478,1.38843,3.905203e-07
-1.9625,-1.9125,0.0109018,0.0122321,3.30738,9.302548e-07
-1.9625,-1.8875,0.0109018,0.0129569,38.732,1.089402e-05
-1.9625,-1.8625,0.0109018,0.0137246,427.828,1.203338e-04
-1.9625,-1.8375,0.0109018,0.0145378,1031.79,2.902091e-04
-1.9625,-1.8125,0.0109018,0.0153993,1214.69,3.416517e-04
-1.9625,-1.7875,0.0109018,0.0163117,1132.59,3.185603e-04
-1.9625,-1.7625,0.0109018,0.0172783,1159.96,3.262574e-04
-1.9625,-1.7375,0.0109018,0.0183021,1220.22,3.432079e-04
