# In situ Chl-a and CDOM shared by Raphe Kudela (UCSC), expressed in
# the units of Dutkiewicz et al. (2018) Fig. 10a.
# source: field  = CDOM_TChla.csv (789 Pacific/Arctic samples, 2010-2017;
#                  distinct near-surface samples, Chl-a by HPLC --
#                  R. Kudela via Q&A in claude_prompts/dutkiewicz_priors.md)
#         GLORIA = GLORIA_meta_and_lab.csv (Lehmann et al. 2023), rows with
#                  both Chla and aCDOM440
# Chl in mg m-3 (as reported);
# CDOM (mmol C m-3) = aCDOM440 * exp(-0.021*10) / 0.18
#   (shift to 450 nm with the Darwin spectral slope, then invert ccdom(450))
# QC: rows with non-positive Chl or aCDOM440 dropped.
# Written by robust/dutkiewicz2018_fig10.py.
source,Chl,aCDOM440,CDOM
field,8.45,0.282,1.26992
field,5.182,0.275,1.23839
field,5.182,0.275,1.23839
field,1.565,0.257,1.15733
field,1.565,0.257,1.15733
field,1.565,0.257,1.15733
field,2.331,0.489,2.20209
field,2.331,0.489,2.20209
field,7.866,0.361,1.62567
field,7.866,0.361,1.62567
field,7.866,0.361,1.62567
field,0.825,0.389,1.75176
field,0.825,0.389,1.75176
field,0.825,0.389,1.75176
field,1.38,0.423,1.90487
field,1.38,0.423,1.90487
field,1.38,0.423,1.90487
field,1.38,0.423,1.90487
field,3.049,1.756,7.9077
field,3.049,1.756,7.9077
field,3.049,1.756,7.9077
field,7.655,0.623,2.80552
field,7.655,0.623,2.80552
field,7.655,0.623,2.80552
field,4.397,0.398,1.79229
field,7.171,0.103,0.463834
field,7.171,0.103,0.463834
field,7.171,0.103,0.463834
field,3.287,0.254,1.14382
field,3.287,0.254,1.14382
field,3.287,0.254,1.14382
field,2.558,0.189,0.851113
field,2.558,0.189,0.851113
field,2.558,0.189,0.851113
field,2.992,0.214,0.963695
field,2.992,0.214,0.963695
field,2.992,0.214,0.963695
field,9.37,0.112,0.504364
field,9.37,0.112,0.504364
field,9.37,0.112,0.504364
field,9.37,0.112,0.504364
field,2.557,0.223,1.00422
field,2.557,0.223,1.00422
field,2.557,0.223,1.00422
field,2.353,0.228,1.02674
field,2.353,0.228,1.02674
field,2.353,0.228,1.02674
field,2.353,0.228,1.02674
field,4.607,0.691,3.11174
field,4.607,0.691,3.11174
field,4.607,0.691,3.11174
field,4.607,0.691,3.11174
field,4.607,0.691,3.11174
field,2.681,0.861,3.87729
field,2.681,0.861,3.87729
field,2.681,0.861,3.87729
field,2.681,0.861,3.87729
field,2.681,0.861,3.87729
field,1.001,1.143,5.14721
field,1.001,1.143,5.14721
field,1.001,1.143,5.14721
field,2.663,0.778,3.50353
field,2.663,0.778,3.50353
field,2.663,0.778,3.50353
field,2.918,0.646,2.9091
field,2.918,0.646,2.9091
field,2.918,0.646,2.9091
field,2.441,0.529,2.38222
field,2.441,0.529,2.38222
field,2.441,0.529,2.38222
field,2.481,0.559,2.51731
field,2.481,0.559,2.51731
field,2.481,0.559,2.51731
field,2.224,0.554,2.4948
field,2.327,0.559,2.51731
field,2.327,0.559,2.51731
field,2.327,0.559,2.51731
field,3.336,0.54,2.43175
field,3.336,0.54,2.43175
field,0.48,0.027,0.121588
field,0.48,0.027,0.121588
field,0.48,0.027,0.121588
field,0.442,0.029,0.130594
field,0.442,0.029,0.130594
field,0.442,0.029,0.130594
field,0.437,0.021,0.0945682
field,0.437,0.021,0.0945682
field,0.437,0.021,0.0945682
field,0.418,0.023,0.103575
field,0.418,0.023,0.103575
field,0.418,0.023,0.103575
field,5.639,0.054,0.243175
field,5.639,0.054,0.243175
